id;width;height;dimensions;mean_rgb;min_rgb;max_rgb;
00022e1a.jpg;500;699;1;176;0;255;
000466c4.jpg;700;1050;3;175;0;255;
00087b01.jpg;368;1050;3;149;15;255;
001296d5.jpg;170;397;3;167;0;255;
0014cfdf.jpg;398;700;1;156;21;255;
0025e8c2.jpg;652;1000;3;86;0;255;
0026a8ab.jpg;317;1050;3;154;51;249;
0031c258.jpg;456;1050;3;130;7;255;
0035632e.jpg;400;843;3;145;5;255;
0037e7d3.jpg;700;1050;3;136;0;255;
00389cd7.jpg;600;1050;3;143;0;255;
0042dcc4.jpg;367;1050;3;158;41;255;
0042ea34.jpg;228;532;3;126;0;255;
00467ae9.jpg;667;1000;3;202;0;255;
004a97f3.jpg;410;700;1;190;0;255;
004c5fb9.jpg;422;1050;3;166;29;255;
005c57e7.jpg;475;831;3;82;0;255;
006d0aaf.jpg;700;1050;3;121;0;255;
0078af23.jpg;600;1050;3;154;4;255;
007c3603.jpg;471;822;1;172;6;255;
00863b8c.jpg;368;858;3;142;0;255;
008809b5.jpg;327;1050;3;113;40;255;
008baccf.jpg;316;1050;3;111;61;194;
0091c92b.jpg;683;1050;3;183;0;255;
009dca38.jpg;247;677;3;153;88;255;
00a29f63.jpg;367;1050;3;131;0;255;
00aa021c.jpg;497;746;3;146;0;255;
00ab018e.jpg;327;1050;3;62;0;255;
00ac0e86.jpg;525;1050;3;146;0;255;
00acb5a9.jpg;245;571;3;151;0;255;
00ad9219.jpg;288;1050;3;168;86;255;
00af84d8.jpg;500;700;1;224;0;255;
00b2c0cd.jpg;478;1050;3;120;0;255;
00b588d6.jpg;500;875;1;158;0;255;
00b7de10.jpg;319;1050;3;126;17;255;
00be7f73.jpg;600;1050;3;168;3;255;
00be9148.jpg;600;1050;3;94;0;255;
00cf7bd3.jpg;418;976;3;131;0;255;
00d3d48c.jpg;346;1050;3;143;4;255;
00d6b82e.jpg;391;682;1;131;0;255;
00ded600.jpg;487;1050;3;143;46;255;
00eab0e6.jpg;382;671;3;165;0;255;
00ec0dcd.jpg;250;1050;3;168;40;255;
00f22419.jpg;700;1050;3;125;0;255;
00f4c92c.jpg;700;1050;3;181;0;255;
0101d22b.jpg;542;949;3;135;0;255;
010ecbb5.jpg;322;563;3;94;0;255;
010f1fe2.jpg;500;700;1;195;0;255;
011904f8.jpg;700;1050;3;171;0;255;
01228da4.jpg;307;1050;3;104;0;255;
012621f1.jpg;238;417;3;148;0;255;
01274a1e.jpg;600;1050;3;160;0;255;
01321d88.jpg;416;1050;3;109;0;255;
01496f0b.jpg;351;709;3;172;0;255;
0162c72f.jpg;349;1050;3;156;29;255;
01679a6d.jpg;600;1050;3;146;0;255;
01692e13.jpg;601;1050;3;89;0;255;
0171d221.jpg;700;1050;3;126;0;255;
0175c4c1.jpg;262;1050;3;125;0;255;
017ec31f.jpg;600;1050;1;198;0;235;
018722ca.jpg;270;1050;3;161;18;255;
018f26da.jpg;655;1050;3;139;0;255;
01981e98.jpg;488;1050;3;145;0;255;
019cd867.jpg;525;1050;3;90;6;255;
01aaa81a.jpg;700;1050;3;130;0;255;
01b83639.jpg;308;540;3;104;0;255;
01bd341c.jpg;423;740;3;176;0;255;
01be6c48.jpg;700;1050;3;125;0;253;
01c11eaf.jpg;472;660;3;173;17;255;
01c28f3b.jpg;600;1050;3;107;0;209;
01cf1430.jpg;525;1050;3;154;5;255;
01cf2e2e.jpg;572;995;1;174;0;254;
01d117c5.jpg;310;1050;3;147;0;255;
01d4467a.jpg;282;1050;3;140;44;255;
01d890d8.jpg;600;1050;3;84;0;255;
01daeb5a.jpg;600;1050;1;208;0;255;
01dd608b.jpg;572;995;1;174;0;254;
01e25788.jpg;291;1050;3;72;0;255;
01e37453.jpg;630;1050;3;110;0;255;
01e490cf.jpg;700;1050;3;161;0;255;
01ec6749.jpg;703;1050;3;169;0;255;
01ed89f6.jpg;551;1050;3;177;53;255;
01f17a15.jpg;630;1050;3;118;0;255;
020028b2.jpg;811;750;3;181;0;255;
02012946.jpg;500;700;1;159;0;255;
02073b87.jpg;479;839;3;111;0;255;
0217abfb.jpg;440;840;1;136;0;232;
021dc6ac.jpg;700;1050;3;115;0;255;
02239d12.jpg;432;1050;3;131;17;255;
0237ca7a.jpg;600;1050;3;114;0;255;
024144e5.jpg;274;639;3;143;0;255;
0243ca95.jpg;344;1050;3;168;57;255;
02453c9f.jpg;584;876;3;138;0;255;
024c6d37.jpg;600;1050;3;147;0;255;
0252337b.jpg;700;1050;3;153;0;255;
02529c95.jpg;289;1050;3;152;83;233;
02558f3a.jpg;700;1050;3;92;0;255;
025c0ecb.jpg;539;883;1;195;0;255;
025fd2ea.jpg;525;1050;3;132;0;255;
02608d7a.jpg;401;934;3;120;0;255;
0260c382.jpg;429;1003;3;159;0;255;
0267139c.jpg;233;829;3;169;14;255;
02715625.jpg;368;700;1;141;0;255;
028d2ff2.jpg;630;1050;3;91;0;255;
02916b71.jpg;502;1050;3;126;0;255;
02a12b73.jpg;257;1050;3;159;28;255;
02a66def.jpg;339;1050;3;208;19;255;
02a783c8.jpg;381;1050;3;147;40;255;
02aceb16.jpg;461;743;3;187;0;255;
02af1aa3.jpg;286;924;3;120;20;255;
